id,label
b48eba74-e207-575a-8219-f56e3da7c656,'de novo' posttranslational protein folding (GO:0051084)
35835311-021b-5ecc-8b54-dbcd8d4d066c,2-oxoglutarate metabolic process (GO:0006103)
0570084d-22cc-5858-8760-1fedb82f9634,3'-phosphoadenosine 5'-phosphosulfate biosynthetic process (GO:0050428)
8f7163ac-8ad3-54c9-96f1-447be2932a3d,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)
92d119a4-5bf3-5c78-b4ba-7190ccef24ad,3'-UTR-mediated mRNA destabilization (GO:0061158)
ce5d6c02-9d5b-5214-b577-c22a895aa60a,3'-UTR-mediated mRNA stabilization (GO:0070935)
3708c715-da24-53ff-b430-1fa4b1cd72f7,5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)
5f1b0f1a-054e-5352-b6f6-fe952166035e,5-phosphoribose 1-diphosphate metabolic process (GO:0046391)
d5cb95c7-e2cc-5704-a6e2-1a469299f908,5S class rRNA transcription by RNA polymerase III (GO:0042791)
6cb0cd6d-52d1-5767-a4d1-75770993e059,7-methylguanosine mRNA capping (GO:0006370)
d99aa10a-3ef1-5bcc-9613-b0f5a488cec5,7-methylguanosine RNA capping (GO:0009452)
bb198ffe-28f0-59d2-b54f-9ba47edca4c0,acetyl-CoA biosynthetic process (GO:0006085)
22fcd28b-ebf9-50c7-8f2c-b2301d74ffc3,acetyl-CoA biosynthetic process from pyruvate (GO:0006086)
ab02c4a3-126a-56f0-b30f-0d8022e36484,acetyl-CoA metabolic process (GO:0006084)
b25ebea7-7773-5782-9bcf-25f728471cad,acetylcholine receptor signaling pathway (GO:0095500)
dd11d760-2cb6-5095-9256-749ea812521c,acid secretion (GO:0046717)
5767fee4-f5ee-50cc-93f8-c348a5703943,acidic amino acid transport (GO:0015800)
ca5290d4-87c2-53e6-a7cd-533a334435f4,actin crosslink formation (GO:0051764)
22a2635e-1b1d-5904-967e-f65831e3b459,actin cytoskeleton reorganization (GO:0031532)
7a6f46ba-7ca2-5102-b242-f4ae86d1deb3,actin filament bundle assembly (GO:0051017)
2f59809a-5e00-5a07-8301-026a1a7563d5,actin filament bundle organization (GO:0061572)
3b813ab9-19c5-5401-b84a-cab8f1efb134,actin filament capping (GO:0051693)
cc796981-8eef-5ca8-8fae-93ff5bac19fd,actin filament depolymerization (GO:0030042)
a007c697-5cae-5c58-bc84-c1b17f9cef13,actin filament network formation (GO:0051639)
26158400-a7d6-5274-9773-9147aa1a3f9d,actin filament organization (GO:0007015)
cf0c0d0c-a07d-5371-b0de-dab6ee224d9c,actin filament polymerization (GO:0030041)
