id,label,uri
9276,COPB2,https://www.ncbi.nlm.nih.gov/gene/9276
23753,SDF2L1,https://www.ncbi.nlm.nih.gov/gene/23753
3313,HSPA9,https://www.ncbi.nlm.nih.gov/gene/3313
10576,CCT2,https://www.ncbi.nlm.nih.gov/gene/10576
6767,ST13,https://www.ncbi.nlm.nih.gov/gene/6767
3310,HSPA6,https://www.ncbi.nlm.nih.gov/gene/3310
957,ENTPD5,https://www.ncbi.nlm.nih.gov/gene/957
3309,HSPA5,https://www.ncbi.nlm.nih.gov/gene/3309
10728,PTGES3,https://www.ncbi.nlm.nih.gov/gene/10728
3305,HSPA1L,https://www.ncbi.nlm.nih.gov/gene/3305
3312,HSPA8,https://www.ncbi.nlm.nih.gov/gene/3312
374407,DNAJB13,https://www.ncbi.nlm.nih.gov/gene/374407
3306,HSPA2,https://www.ncbi.nlm.nih.gov/gene/3306
79982,DNAJB14,https://www.ncbi.nlm.nih.gov/gene/79982
3336,HSPE1,https://www.ncbi.nlm.nih.gov/gene/3336
202052,DNAJC18,https://www.ncbi.nlm.nih.gov/gene/202052
2580,GAK,https://www.ncbi.nlm.nih.gov/gene/2580
7266,DNAJC7,https://www.ncbi.nlm.nih.gov/gene/7266
54788,DNAJB12,https://www.ncbi.nlm.nih.gov/gene/54788
3303,HSPA1A,https://www.ncbi.nlm.nih.gov/gene/3303
3304,HSPA1B,https://www.ncbi.nlm.nih.gov/gene/3304
30001,ERO1A,https://www.ncbi.nlm.nih.gov/gene/30001
9403,SELENOF,https://www.ncbi.nlm.nih.gov/gene/9403
51182,HSPA14,https://www.ncbi.nlm.nih.gov/gene/51182
6782,HSPA13,https://www.ncbi.nlm.nih.gov/gene/6782
3337,DNAJB1,https://www.ncbi.nlm.nih.gov/gene/3337
131474,CHCHD4,https://www.ncbi.nlm.nih.gov/gene/131474
573,BAG1,https://www.ncbi.nlm.nih.gov/gene/573
25822,DNAJB5,https://www.ncbi.nlm.nih.gov/gene/25822
11080,DNAJB4,https://www.ncbi.nlm.nih.gov/gene/11080
6388,SDF2,https://www.ncbi.nlm.nih.gov/gene/6388
56886,UGGT1,https://www.ncbi.nlm.nih.gov/gene/56886
3417,IDH1,https://www.ncbi.nlm.nih.gov/gene/3417
5264,PHYH,https://www.ncbi.nlm.nih.gov/gene/5264
51166,AADAT,https://www.ncbi.nlm.nih.gov/gene/51166
2806,GOT2,https://www.ncbi.nlm.nih.gov/gene/2806
92259,MRPS36,https://www.ncbi.nlm.nih.gov/gene/92259
2805,GOT1,https://www.ncbi.nlm.nih.gov/gene/2805
3418,IDH2,https://www.ncbi.nlm.nih.gov/gene/3418
137872,ADHFE1,https://www.ncbi.nlm.nih.gov/gene/137872
84706,GPT2,https://www.ncbi.nlm.nih.gov/gene/84706
6898,TAT,https://www.ncbi.nlm.nih.gov/gene/6898
1743,DLST,https://www.ncbi.nlm.nih.gov/gene/1743
79944,L2HGDH,https://www.ncbi.nlm.nih.gov/gene/79944
728294,D2HGDH,https://www.ncbi.nlm.nih.gov/gene/728294
4967,OGDH,https://www.ncbi.nlm.nih.gov/gene/4967
10861,SLC26A1,https://www.ncbi.nlm.nih.gov/gene/10861
51000,SLC35B3,https://www.ncbi.nlm.nih.gov/gene/51000
1836,SLC26A2,https://www.ncbi.nlm.nih.gov/gene/1836
347734,SLC35B2,https://www.ncbi.nlm.nih.gov/gene/347734
9061,PAPSS1,https://www.ncbi.nlm.nih.gov/gene/9061
9060,PAPSS2,https://www.ncbi.nlm.nih.gov/gene/9060
84836,ABHD14B,https://www.ncbi.nlm.nih.gov/gene/84836
8459,TPST2,https://www.ncbi.nlm.nih.gov/gene/8459
6820,SULT2B1,https://www.ncbi.nlm.nih.gov/gene/6820
27284,SULT1B1,https://www.ncbi.nlm.nih.gov/gene/27284
8460,TPST1,https://www.ncbi.nlm.nih.gov/gene/8460
391365,SULT6B1,https://www.ncbi.nlm.nih.gov/gene/391365
6822,SULT2A1,https://www.ncbi.nlm.nih.gov/gene/6822
27233,SULT1C4,https://www.ncbi.nlm.nih.gov/gene/27233
6799,SULT1A2,https://www.ncbi.nlm.nih.gov/gene/6799
6817,SULT1A1,https://www.ncbi.nlm.nih.gov/gene/6817
442038,SULT1C3,https://www.ncbi.nlm.nih.gov/gene/442038
6819,SULT1C2,https://www.ncbi.nlm.nih.gov/gene/6819
6783,SULT1E1,https://www.ncbi.nlm.nih.gov/gene/6783
5167,ENPP1,https://www.ncbi.nlm.nih.gov/gene/5167
54928,BPNT2,https://www.ncbi.nlm.nih.gov/gene/54928
10380,BPNT1,https://www.ncbi.nlm.nih.gov/gene/10380
25830,SULT4A1,https://www.ncbi.nlm.nih.gov/gene/25830
445329,SULT1A4,https://www.ncbi.nlm.nih.gov/gene/445329
6818,SULT1A3,https://www.ncbi.nlm.nih.gov/gene/6818
5976,UPF1,https://www.ncbi.nlm.nih.gov/gene/5976
131405,TRIM71,https://www.ncbi.nlm.nih.gov/gene/131405
149041,RC3H1,https://www.ncbi.nlm.nih.gov/gene/149041
677,ZFP36L1,https://www.ncbi.nlm.nih.gov/gene/677
678,ZFP36L2,https://www.ncbi.nlm.nih.gov/gene/678
4343,MOV10,https://www.ncbi.nlm.nih.gov/gene/4343
340152,ZC3H12D,https://www.ncbi.nlm.nih.gov/gene/340152
8570,KHSRP,https://www.ncbi.nlm.nih.gov/gene/8570
7538,ZFP36,https://www.ncbi.nlm.nih.gov/gene/7538
80149,ZC3H12A,https://www.ncbi.nlm.nih.gov/gene/80149
170506,DHX36,https://www.ncbi.nlm.nih.gov/gene/170506
373863,DND1,https://www.ncbi.nlm.nih.gov/gene/373863
84069,PLEKHN1,https://www.ncbi.nlm.nih.gov/gene/84069
221662,RBM24,https://www.ncbi.nlm.nih.gov/gene/221662
23435,TARDBP,https://www.ncbi.nlm.nih.gov/gene/23435
22849,CPEB3,https://www.ncbi.nlm.nih.gov/gene/22849
90806,ANGEL2,https://www.ncbi.nlm.nih.gov/gene/90806
114609,TIRAP,https://www.ncbi.nlm.nih.gov/gene/114609
57135,DAZ4,https://www.ncbi.nlm.nih.gov/gene/57135
57054,DAZ3,https://www.ncbi.nlm.nih.gov/gene/57054
8531,YBX3,https://www.ncbi.nlm.nih.gov/gene/8531
57055,DAZ2,https://www.ncbi.nlm.nih.gov/gene/57055
1994,ELAVL1,https://www.ncbi.nlm.nih.gov/gene/1994
1617,DAZ1,https://www.ncbi.nlm.nih.gov/gene/1617
1996,ELAVL4,https://www.ncbi.nlm.nih.gov/gene/1996
1432,MAPK14,https://www.ncbi.nlm.nih.gov/gene/1432
4615,MYD88,https://www.ncbi.nlm.nih.gov/gene/4615
1618,DAZL,https://www.ncbi.nlm.nih.gov/gene/1618
66037,BOLL,https://www.ncbi.nlm.nih.gov/gene/66037
9261,MAPKAPK2,https://www.ncbi.nlm.nih.gov/gene/9261
3183,HNRNPC,https://www.ncbi.nlm.nih.gov/gene/3183
10949,HNRNPA0,https://www.ncbi.nlm.nih.gov/gene/10949
5636,PRPSAP2,https://www.ncbi.nlm.nih.gov/gene/5636
5634,PRPS2,https://www.ncbi.nlm.nih.gov/gene/5634
5635,PRPSAP1,https://www.ncbi.nlm.nih.gov/gene/5635
5631,PRPS1,https://www.ncbi.nlm.nih.gov/gene/5631
221823,PRPS1L1,https://www.ncbi.nlm.nih.gov/gene/221823
2976,GTF3C2,https://www.ncbi.nlm.nih.gov/gene/2976
9330,GTF3C3,https://www.ncbi.nlm.nih.gov/gene/9330
9329,GTF3C4,https://www.ncbi.nlm.nih.gov/gene/9329
9328,GTF3C5,https://www.ncbi.nlm.nih.gov/gene/9328
112495,GTF3C6,https://www.ncbi.nlm.nih.gov/gene/112495
2975,GTF3C1,https://www.ncbi.nlm.nih.gov/gene/2975
8732,RNGTT,https://www.ncbi.nlm.nih.gov/gene/8732
22916,NCBP2,https://www.ncbi.nlm.nih.gov/gene/22916
4686,NCBP1,https://www.ncbi.nlm.nih.gov/gene/4686
2965,GTF2H1,https://www.ncbi.nlm.nih.gov/gene/2965
2966,GTF2H2,https://www.ncbi.nlm.nih.gov/gene/2966
2967,GTF2H3,https://www.ncbi.nlm.nih.gov/gene/2967
2962,GTF2F1,https://www.ncbi.nlm.nih.gov/gene/2962
2963,GTF2F2,https://www.ncbi.nlm.nih.gov/gene/2963
2968,GTF2H4,https://www.ncbi.nlm.nih.gov/gene/2968
6829,SUPT5H,https://www.ncbi.nlm.nih.gov/gene/6829
404672,GTF2H5,https://www.ncbi.nlm.nih.gov/gene/404672
