source,relation,target,source_label,target_label,resource
path:map02010,KEGG,20,ABC transporters,ABCA2,https://www.genome.jp/kegg/
path:map02010,KEGG,10257,ABC transporters,ABCC4,https://www.genome.jp/kegg/
path:map02010,KEGG,64241,ABC transporters,ABCG8,https://www.genome.jp/kegg/
path:map02010,KEGG,10057,ABC transporters,ABCC5,https://www.genome.jp/kegg/
path:map02010,KEGG,21,ABC transporters,ABCA3,https://www.genome.jp/kegg/
path:map02010,KEGG,1244,ABC transporters,ABCC2,https://www.genome.jp/kegg/
path:map02010,KEGG,19,ABC transporters,ABCA1,https://www.genome.jp/kegg/
path:map02010,KEGG,8714,ABC transporters,ABCC3,https://www.genome.jp/kegg/
path:map02010,KEGG,6833,ABC transporters,ABCC8,https://www.genome.jp/kegg/
path:map02010,KEGG,23460,ABC transporters,ABCA6,https://www.genome.jp/kegg/
path:map02010,KEGG,10347,ABC transporters,ABCA7,https://www.genome.jp/kegg/
path:map02010,KEGG,10060,ABC transporters,ABCC9,https://www.genome.jp/kegg/
path:map02010,KEGG,24,ABC transporters,ABCA4,https://www.genome.jp/kegg/
path:map02010,KEGG,368,ABC transporters,ABCC6,https://www.genome.jp/kegg/
path:map02010,KEGG,23461,ABC transporters,ABCA5,https://www.genome.jp/kegg/
path:map02010,KEGG,6891,ABC transporters,TAP2,https://www.genome.jp/kegg/
path:map02010,KEGG,6890,ABC transporters,TAP1,https://www.genome.jp/kegg/
path:map02010,KEGG,10351,ABC transporters,ABCA8,https://www.genome.jp/kegg/
path:map02010,KEGG,10350,ABC transporters,ABCA9,https://www.genome.jp/kegg/
path:map02010,KEGG,10349,ABC transporters,ABCA10,https://www.genome.jp/kegg/
path:map02010,KEGG,23456,ABC transporters,ABCB10,https://www.genome.jp/kegg/
path:map02010,KEGG,26154,ABC transporters,ABCA12,https://www.genome.jp/kegg/
path:map02010,KEGG,8647,ABC transporters,ABCB11,https://www.genome.jp/kegg/
path:map02010,KEGG,89845,ABC transporters,ABCC10,https://www.genome.jp/kegg/
path:map02010,KEGG,9619,ABC transporters,ABCG1,https://www.genome.jp/kegg/
path:map02010,KEGG,64137,ABC transporters,ABCG4,https://www.genome.jp/kegg/
path:map02010,KEGG,4363,ABC transporters,ABCC1,https://www.genome.jp/kegg/
path:map02010,KEGG,64240,ABC transporters,ABCG5,https://www.genome.jp/kegg/
path:map02010,KEGG,9429,ABC transporters,ABCG2,https://www.genome.jp/kegg/
path:map02010,KEGG,1080,ABC transporters,CFTR,https://www.genome.jp/kegg/
path:map02010,KEGG,5244,ABC transporters,ABCB4,https://www.genome.jp/kegg/
path:map02010,KEGG,5825,ABC transporters,ABCD3,https://www.genome.jp/kegg/
path:map02010,KEGG,5243,ABC transporters,ABCB1,https://www.genome.jp/kegg/
path:map02010,KEGG,5826,ABC transporters,ABCD4,https://www.genome.jp/kegg/
path:map02010,KEGG,22,ABC transporters,ABCB7,https://www.genome.jp/kegg/
path:map02010,KEGG,11194,ABC transporters,ABCB8,https://www.genome.jp/kegg/
path:map02010,KEGG,340273,ABC transporters,ABCB5,https://www.genome.jp/kegg/
path:map02010,KEGG,10058,ABC transporters,ABCB6,https://www.genome.jp/kegg/
path:map02010,KEGG,23457,ABC transporters,ABCB9,https://www.genome.jp/kegg/
path:map02010,KEGG,154664,ABC transporters,ABCA13,https://www.genome.jp/kegg/
path:map02010,KEGG,85320,ABC transporters,ABCC11,https://www.genome.jp/kegg/
path:map02010,KEGG,1672,ABC transporters,DEFB1,https://www.genome.jp/kegg/
path:map02010,KEGG,94160,ABC transporters,ABCC12,https://www.genome.jp/kegg/
path:map02010,KEGG,215,ABC transporters,ABCD1,https://www.genome.jp/kegg/
path:map02010,KEGG,225,ABC transporters,ABCD2,https://www.genome.jp/kegg/
path:map04933,KEGG,7040,AGE-RAGE signaling pathway in diabetic complications,TGFB1,https://www.genome.jp/kegg/
path:map04933,KEGG,7043,AGE-RAGE signaling pathway in diabetic complications,TGFB3,https://www.genome.jp/kegg/
path:map04933,KEGG,7042,AGE-RAGE signaling pathway in diabetic complications,TGFB2,https://www.genome.jp/kegg/
path:map04933,KEGG,7412,AGE-RAGE signaling pathway in diabetic complications,VCAM1,https://www.genome.jp/kegg/
path:map04933,KEGG,183,AGE-RAGE signaling pathway in diabetic complications,AGT,https://www.genome.jp/kegg/
path:map04933,KEGG,5603,AGE-RAGE signaling pathway in diabetic complications,MAPK13,https://www.genome.jp/kegg/
path:map04933,KEGG,1432,AGE-RAGE signaling pathway in diabetic complications,MAPK14,https://www.genome.jp/kegg/
path:map04933,KEGG,5600,AGE-RAGE signaling pathway in diabetic complications,MAPK11,https://www.genome.jp/kegg/
path:map04933,KEGG,1278,AGE-RAGE signaling pathway in diabetic complications,COL1A2,https://www.genome.jp/kegg/
path:map04933,KEGG,1277,AGE-RAGE signaling pathway in diabetic complications,COL1A1,https://www.genome.jp/kegg/
path:map04933,KEGG,6300,AGE-RAGE signaling pathway in diabetic complications,MAPK12,https://www.genome.jp/kegg/
path:map04933,KEGG,5602,AGE-RAGE signaling pathway in diabetic complications,MAPK10,https://www.genome.jp/kegg/
path:map04933,KEGG,581,AGE-RAGE signaling pathway in diabetic complications,BAX,https://www.genome.jp/kegg/
path:map04933,KEGG,5333,AGE-RAGE signaling pathway in diabetic complications,PLCD1,https://www.genome.jp/kegg/
path:map04933,KEGG,185,AGE-RAGE signaling pathway in diabetic complications,AGTR1,https://www.genome.jp/kegg/
path:map04933,KEGG,84812,AGE-RAGE signaling pathway in diabetic complications,PLCD4,https://www.genome.jp/kegg/
